px,py,pz,ox,oy,oz,ow,vx,vy,vz,goal_status
-2.44E-06,14.999959,1.7501289,-0.70703477,1.30E-05,3.77E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-2.50E-06,14.999958,1.6944175,-0.70703477,1.33E-05,3.86E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-2.56E-06,14.999957,1.637495,-0.70703477,1.36E-05,3.95E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-2.62E-06,14.999956,1.5793616,-0.70703477,1.39E-05,4.04E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-2.67E-06,14.999955,1.5200171,-0.70703477,1.42E-05,4.12E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-2.73E-06,14.999954,1.4594615,-0.70703477,1.45E-05,4.21E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-2.79E-06,14.999953,1.3976947,-0.70703477,1.48E-05,4.30E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-2.85E-06,14.999952,1.3347169,-0.70703477,1.51E-05,4.39E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-2.90E-06,14.999951,1.270528,-0.70703477,1.54E-05,4.47E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-2.96E-06,14.99995,1.2051278,-0.70703477,1.57E-05,4.56E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-3.02E-06,14.999949,1.1385167,-0.70703477,1.60E-05,4.65E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-3.08E-06,14.9999485,1.0706943,-0.70703477,1.63E-05,4.74E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-3.14E-06,14.999948,1.0016611,-0.70703477,1.66E-05,4.82E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-3.19E-06,14.999947,0.93141645,-0.70703477,1.69E-05,4.91E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-3.25E-06,14.999946,0.85996085,-0.70703477,1.72E-05,5.00E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-3.31E-06,14.999945,0.7872942,-0.70703477,1.76E-05,5.09E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-3.37E-06,14.999944,0.71341634,-0.70703477,1.79E-05,5.17E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-3.42E-06,14.999943,0.6383275,-0.70703477,1.82E-05,5.26E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-3.48E-06,14.999942,0.56202734,-0.70703477,1.85E-05,5.35E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-3.53E-06,14.999941,0.48451617,-0.70703477,1.88E-05,5.44E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-3.59E-06,14.99994,0.40579385,-0.70703477,1.91E-05,5.52E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-3.65E-06,14.999939,0.32586035,-0.70703477,1.94E-05,5.61E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,Spawning on floor
-3.71E-06,14.999938,0.2447157,-0.70703477,1.97E-05,5.70E-05,0.7071788,-3.71E-06,-8.01E-05,1.53E-05,initial position
-3.70E-06,14.999927,0.24000016,-0.70703334,-0.0014059826,-0.0014060927,0.70717746,-5.73E-06,-8.09E-05,4.31E-05,initial position
-3.41E-06,14.999929,0.24000002,-0.7070331,-0.0014059666,-0.0014061319,0.7071777,7.53E-06,1.27E-05,0.00010287431,initial position
-3.41E-06,14.999896,0.24000028,-0.70703304,-0.0014059907,-0.00140605,0.70717776,-4.54E-05,-0.0033540924,0.00055443525,initial position
-3.62E-06,14.999921,0.24000023,-0.70703334,-0.0014059562,-0.0014060403,0.70717746,5.57E-05,-0.0024085485,-0.000260508,initial position
-3.73E-06,14.999956,0.2400002,-0.707034,-0.0014059874,-0.0014059542,0.7071768,2.04E-05,0.0034492025,-0.00012805693,initial position
-3.69E-06,14.999935,0.24000023,-0.707033,-0.0014060149,-0.0014061062,0.7071778,-0.00010777209,0.002621455,0.00022990402,initial position
-3.74E-06,14.999897,0.24000025,-0.7070331,-0.0014060168,-0.0014060327,0.7071777,2.25E-05,-0.002971908,-0.00026409977,initial position
-3.79E-06,14.999921,0.24000031,-0.70703405,-0.0014060317,-0.0014060335,0.70717674,-5.12E-05,-0.0022521366,-0.00030778133,initial position
-3.81E-06,14.999954,0.24000019,-0.7070331,-0.0014060648,-0.0014060488,0.7071777,-8.87E-05,0.0029849513,4.41E-05,initial position
-3.62E-06,14.999934,0.2400002,-0.70703363,-0.0014060513,-0.001406119,0.70717716,3.56E-05,0.0024707096,0.0001411506,initial position
-3.84E-06,14.999899,0.2400003,-0.70703316,-0.0014060112,-0.0014060338,0.70717764,-0.000104353836,-0.0028807223,-0.00027171487,initial position
-3.76E-06,14.999924,0.24000017,-0.70703405,-0.0014060726,-0.0014060921,0.70717674,-4.69E-05,-0.0021974533,-2.76E-06,initial position
-3.93E-06,14.999941,0.2400004,-0.7070339,-0.0014060098,-0.0014060101,0.7071769,3.13E-05,0.0038676015,0.000558604,initial position
-3.55E-06,14.99994,0.24000026,-0.70703393,-0.0014060404,-0.0014060842,0.70717686,5.22E-05,0.0037873227,-0.00016844952,initial position
