px,py,pz,idle,linear,rotational,goal_status
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
-3.38e-06,14.99991,0.24000034,1,0,0,initial position
