seq(1,slc22a16(1),1). seq(1,slc22a16(2),2). seq(1,slc22a16(2),3). seq(1,slc22a16(2),4). seq(1,slc22a16(3),5). seq(1,slc22a16(3),6). seq(1,slc22a16(4),7). seq(1,slc22a16(7),8). seq(1,slc22a16(9),9). seq(1,slc22a16(9),10). class(1,1).
seq(1,abca12(9),1). seq(1,abca12(8),2). seq(1,abca12(8),3). seq(1,abca12(6),4). seq(1,abca12(5),5). seq(1,abca12(4),6). seq(1,abca12(2),7). seq(1,abca12(1),8). seq(1,abca12(1),9). seq(1,abca12(0),10). class(1,1).
seq(1,c10orf41(9),1). seq(1,c10orf41(8),2). seq(1,c10orf41(8),3). seq(1,c10orf41(6),4). seq(1,c10orf41(5),5). seq(1,c10orf41(4),6). seq(1,c10orf41(2),7). seq(1,c10orf41(1),8). seq(1,c10orf41(1),9). seq(1,c10orf41(0),10). class(1,1).
seq(1,c4orf6(9),1). seq(1,c4orf6(8),2). seq(1,c4orf6(8),3). seq(1,c4orf6(7),4). seq(1,c4orf6(6),5). seq(1,c4orf6(4),6). seq(1,c4orf6(3),7). seq(1,c4orf6(2),8). seq(1,c4orf6(1),9). seq(1,c4orf6(0),10). class(1,1).
seq(1,c9orf129(9),1). seq(1,c9orf129(8),2). seq(1,c9orf129(7),3). seq(1,c9orf129(5),4). seq(1,c9orf129(3),5). seq(1,c9orf129(1),6). seq(1,c9orf129(0),7). seq(1,c9orf129(1),8). seq(1,c9orf129(3),9). seq(1,c9orf129(5),10). class(1,1).
seq(1,cd1c(0),1). seq(1,cd1c(1),2). seq(1,cd1c(1),3). seq(1,cd1c(3),4). seq(1,cd1c(4),5). seq(1,cd1c(5),6). seq(1,cd1c(7),7). seq(1,cd1c(8),8). seq(1,cd1c(8),9). seq(1,cd1c(9),10). class(1,1).
seq(1,trim36(1),1). seq(1,trim36(1),2). seq(1,trim36(2),3). seq(1,trim36(2),4). seq(1,trim36(3),5). seq(1,trim36(4),6). seq(1,trim36(5),7). seq(1,trim36(7),8). seq(1,trim36(9),9). seq(1,trim36(9),10). class(1,1).
seq(1,afap1l1(0),1). seq(1,afap1l1(1),2). seq(1,afap1l1(1),3). seq(1,afap1l1(3),4). seq(1,afap1l1(4),5). seq(1,afap1l1(5),6). seq(1,afap1l1(7),7). seq(1,afap1l1(8),8). seq(1,afap1l1(8),9). seq(1,afap1l1(9),10). class(1,1).
seq(1,c6orf176(0),1). seq(1,c6orf176(0),2). seq(1,c6orf176(1),3). seq(1,c6orf176(3),4). seq(1,c6orf176(5),5). seq(1,c6orf176(6),6). seq(1,c6orf176(8),7). seq(1,c6orf176(8),8). seq(1,c6orf176(8),9). seq(1,c6orf176(8),10). class(1,1).
seq(1,cabyr(0),1). seq(1,cabyr(1),2). seq(1,cabyr(2),3). seq(1,cabyr(2),4). seq(1,cabyr(3),5). seq(1,cabyr(4),6). seq(1,cabyr(6),7). seq(1,cabyr(7),8). seq(1,cabyr(9),9). seq(1,cabyr(9),10). class(1,1).
